# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 22 10:17:24 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN k2_name:        K2 ID
# COLUMN tic_id:         TIC ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN disposition:    Archive Disposition
# COLUMN disp_refname:   Archive Disposition Reference
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
#
pl_name,hostname,k2_name,tic_id,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag
EPIC 201160662.01,EPIC 201160662,,TIC 49504409,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.53741150,0.00000620,-0.00000610,0,,,,,45.000,12.000,-17.000,0,4.000,1.100,-1.500,0,,,,,,,,,,2456810.497140,0.000190,-0.000190,0,0
EPIC 201164625.01,EPIC 201164625,,TIC 56754094,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,2.71189000,0.00068000,-0.00056000,0,,,,,4.340,0.430,-0.350,0,0.387,0.038,-0.031,0,,,,,,,,,,2457583.136200,0.011200,-0.017900,0,0
EPIC 201166680.01,K2-243,,TIC 96199085,1,CANDIDATE,Mayo et al. 2018,1,2,Transit,2018,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,18.10549000,0.01008300,-0.01289700,0,,,,,2.100,0.306,-0.201,0,0.190,0.030,-0.020,0,,,,,,,,,,2457598.193300,0.020571,-0.015611,0,0
EPIC 201170410.02,EPIC 201170410,K2-327 b,TIC 38116202,1,CONFIRMED,del Ser &amp; Fors 2020,1,1,Transit,2020,K2,Published Confirmed,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,6.79870000,0.00010000,-0.00010000,0,0.034900,0.002700,-0.002200,0,1.047,0.276,-0.257,0,0.093,0.025,-0.023,0,,,,,,,,,,2456813.148500,0.000600,-0.000500,0,0
EPIC 201176672.01,EPIC 201176672,,TIC 443616789,1,CANDIDATE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,79.99990000,0.00980000,-0.00980000,0,,,,,10.200,2.100,-2.100,0,0.910,0.190,-0.190,0,,,,,,,,,,2456877.804600,0.001500,-0.001500,0,0
EPIC 201176672.02,EPIC 201176672,,TIC 443616789,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,,,,30.000,8.300,-10.600,0,3.000,0.740,-0.946,0,,,,,,,,,,2456877.803800,0.000500,-0.000500,0,0
EPIC 201180665.01,EPIC 201180665,,TIC 349458175,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,17.77297000,0.00009000,-0.00009000,0,,,,,26.440,0.650,-0.650,0,2.359,0.058,-0.058,0,,,,,,,,,,2457586.498600,0.000200,-0.000200,0,0
EPIC 201182911.01,EPIC 201182911,,TIC 173109451,1,CANDIDATE,Vanderburg et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,0.99656225,,,0,,,,,32.800,,,0,2.926,,,0,,,,,,,,,,2456811.090000,,,0,0
EPIC 201197348.01,EPIC 201197348,,TIC 62965118,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,14.91390000,0.00180000,-0.00200000,0,,,,,3.240,0.330,-0.560,0,0.289,0.029,-0.050,0,,,,,,,,,,2456825.110800,0.004500,-0.004200,0,0
EPIC 201197348.01,EPIC 201197348,,TIC 62965118,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,14.91238100,,,0,,,,,3.550,,,0,0.317,,,0,,,,,,,,,,2456825.111000,,,0,0
EPIC 201231940.01,EPIC 201231940,,TIC 49429059,1,CANDIDATE,Vanderburg et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,0.57303573,,,0,,,,,3.350,,,0,0.299,,,0,,,,,,,,,,2456810.511000,,,0,0
EPIC 201238110 b,EPIC 201238110,K2-296 b,TIC 35019000,1,CONFIRMED,Heller et al. 2019,1,1,Transit,2019,K2,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,28.16560000,0.00270000,-0.00280000,0,,,,,1.870,0.200,-0.450,0,0.167,0.018,-0.040,0,,,,,,,,,,2456852.657200,0.002300,-0.002300,0,0
EPIC 201238110 b,EPIC 201238110,K2-296 b,TIC 35019000,0,CONFIRMED,Heller et al. 2019,1,1,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,28.16960000,0.00380000,-0.00430000,0,,,,,2.200,0.540,-0.300,0,0.200,0.048,-0.030,0,,,,,,,,,,2456824.483600,0.006300,-0.005100,0,0
EPIC 201238110.01,EPIC 201238110,,TIC 35019000,1,CANDIDATE,Kruse et al. 2019,1,1,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,7.90417000,0.00091000,-0.00148000,0,,,,,2.060,0.530,-0.560,0,0.184,0.047,-0.050,0,,,,,,,,,,2456813.689500,0.010600,-0.004900,0,0
EPIC 201238110.01,EPIC 201238110,,TIC 35019000,0,CANDIDATE,Kruse et al. 2019,1,1,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,7.90696060,,,0,,,,,3.020,,,0,0.269,,,0,,,,,,,,,,2456813.675000,,,0,0
EPIC 201238163.01,EPIC 201238163,,TIC 173163938,1,CANDIDATE,Vanderburg et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,1.08296140,,,0,,,,,1.560,,,0,0.139,,,0,,,,,,,,,,2456810.366000,,,0,0
EPIC 201239401.01,EPIC 201239401,,TIC 173147407,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,0.90552205,,,0,,,,,1.520,,,0,0.136,,,0,,,,,,,,,,2456810.944000,,,0,0
EPIC 201239401.01,EPIC 201239401,,TIC 173147407,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,0.90565500,0.00004900,-0.00005000,0,,,,,1.570,0.160,-0.260,0,0.140,0.014,-0.023,0,,,,,,,,,,2456810.937200,0.002500,-0.002400,0,0
EPIC 201247497.01,EPIC 201247497,,TIC 78312435,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2.75421000,0.00012000,-0.00012000,0,,,,,8.400,1.200,-6.800,0,0.750,0.110,-0.610,0,,,,,,,,,,2456810.899900,0.002000,-0.001900,0,0
EPIC 201247497.01,EPIC 201247497,,TIC 78312435,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2.75391000,0.00015000,-0.00015000,0,,,,,3.780,0.680,-0.680,0,0.337,0.061,-0.061,0,,,,,,,,,,2456810.903100,0.002300,-0.002300,0,0
EPIC 201247497.01,EPIC 201247497,,TIC 78312435,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,2.75411290,,,0,,,,,4.870,,,0,0.434,,,0,,,,,,,,,,2456810.901000,,,0,0
EPIC 201257461.01,EPIC 201257461,,TIC 446672940,1,FALSE POSITIVE,Montet et al. 2015,1,0,Transit,2015,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,50.28586900,,,0,,,,,3.470,,,0,0.310,,,0,,,,,,,,,,2456828.355000,,,0,0
EPIC 201257461.01,EPIC 201257461,,TIC 446672940,0,FALSE POSITIVE,Montet et al. 2015,1,0,Transit,2015,K2,Published Candidate,0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,50.27762000,0.00785000,-0.00785000,0,,,,,209.520,99.230,-99.230,0,18.692,8.853,-8.853,0,,,,,,,,,,2456828.373500,0.039700,-0.039700,0,0
EPIC 201258341.01,EPIC 201258341,,TIC 421194234,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,10.50439000,0.00059000,-0.00061000,0,,,,,1.750,0.150,-0.430,0,0.156,0.013,-0.038,0,,,,,,,,,,2456818.918500,0.002600,-0.002600,0,0
EPIC 201259803.01,EPIC 201259803,,TIC 38132622,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.68420800,0.00002400,-0.00002400,0,,,,,5.510,0.670,-0.900,0,0.492,0.060,-0.080,0,,,,,,,,,,2456810.892930,0.000690,-0.000670,0,0
EPIC 201264302.01,EPIC 201264302,,TIC 38086751,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,0.21219899,,,0,,,,,1.050,,,0,0.094,,,0,,,,,,,,,,2456810.278000,,,0,0
EPIC 201264302.01,EPIC 201264302,,TIC 38086751,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,0.21220130,0.00000230,-0.00000180,0,,,,,0.519,0.046,-0.123,0,0.046,0.004,-0.011,0,,,,,,,,,,2456810.489800,0.000480,-0.000490,0,0
EPIC 201264302.01,EPIC 201264302,,TIC 38086751,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=ADAMS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...47A/abstract target=ref>Adams et al. 2016</a>,0.21219400,0.00002600,-0.00002600,0,,,,,0.770,0.180,-0.180,0,0.069,0.016,-0.016,0,,,,,,,,,,2456812.400150,0.000640,-0.000630,0,0
EPIC 201270176.01,EPIC 201270176,,TIC 38116677,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,1.57771549,,,0,,,,,,,,,,,,,,,,,,,,,,2456818.326995,,,0,0
EPIC 201270176.01,EPIC 201270176,,TIC 38116677,0,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,1.57786430,,,0,,,,,7.550,,,0,0.674,,,0,,,,,,,,,,2456810.434000,,,0,0
EPIC 201270464.01,HIP 55390,,TIC 38116680,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,1.57771549,,,0,,,,,,,,,,,,,,,,,,,,,,2456818.327691,,,0,0
EPIC 201274010.01,EPIC 201274010,,TIC 56813470,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,13.01130000,0.00520000,-0.00422000,0,,,,,2.430,0.250,-0.240,0,0.217,0.022,-0.021,0,,,,,,,,,,2457589.515000,0.008600,-0.012300,0,0
EPIC 201291843.01,EPIC 201291843,,TIC 421192026,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,40.70206194,,,0,,,,,,,,,,,,,,,,,,,,,,2456823.294921,,,0,0
EPIC 201299088.01,EPIC 201299088,,TIC 56760106,1,CANDIDATE,Mayo et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,21.20473900,0.00534800,-0.00552300,0,,,,,9.110,1.164,-0.951,0,0.810,0.100,-0.080,0,,,,,,,,,,2457600.342910,0.008145,-0.007958,0,0
EPIC 201324549.01,EPIC 201324549,,TIC 38161230,0,FALSE POSITIVE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,2.51881781,,,0,,,,,,,,,,,,,,,,,,,,,,2456820.075966,,,0,0
